address,operator_address,moniker,tier,allocation
terp128m3ap0gdrkrep7ywpw4zsagk96u0ts8avmryz,,,1,3
terp12ag4k3sahlk369y724h75k6jpa8tjpjk9klkuv,,,1,3
terp12trcwfd0e82g6904ntgka7y72efjp82hffwyvf,,,1,3
terp12u2u0pks6her744andmxnf5v5mawkwrekpph3z,,,1,3
terp12w29ctjca49yfj3wgr45w64k29xs7692yx4474,,,1,3
terp12wrx5qegdqpj5ramkn54f6vq8ehgapreqswwmd,,,1,3
terp13306hrp8e9y9z8lv5h2eccupffj8kw95cluket,,,1,3
terp136xluxzqh24mtx4g7qavzpdw8yzwdqtf7uffw5,,,1,3
terp137xce4zlmrwpuvj8yu6pn748nnm5kwg4eu99lx,,,1,3
terp139x6xcc5hgtp3ql4uvq3s4trgwr9qqlt694hv9,,,1,3
terp13a02q0pgjy8qewdykr69ha78uch00j44yxn5sx,,,1,3
terp13eaa0az5pu6tlrssqqzr9l3qs6u9yvafhz7mcc,,,1,3
terp13jawsn574rf3f0u5rhu7e8n6sayx5gkw4xf0us,,,1,3
terp13p5dt20sggkxpj9w0lgenk87tuj8ykz0e5vr3n,,,1,3
terp13qwtj862uu4xms49r0jyjcxcjrd4x0twjqpjnd,,,1,3
terp13usnadvzl8utxn99hqwf5c4efpmm03h5suumdn,,,1,3
terp13uyd8qummw8kfsg6eedxh2lgt4msj3s4ehwz4w,,,1,3
terp13vgnjn4grkagf7gm9ccfhls53ap4m6auqrdrun,,,1,3
terp13vhvn6pqg0m3zgswvyapaf55wuzdnj2ngcdncp,,,1,3
terp1468uypq7xek5wv8hz7walcga6y8u4w7fhmztp6,,,1,3
terp14cge59jv9zat207pwar6hdlu3unrzav5rkzy0t,,,1,3
terp14eygcfdmwpl00nw2amqpujg73nyy59azqu55em,,,1,3
terp14gwg2qaghttmmsm8a998kkv4sav0mke0qm5lmg,,,1,3
terp14k4388v55lwqgypeepxd3da7mm5l38jspc63n0,,,1,3
terp14kaxwtrtuvg5vpeqmcgqcvxvrxh34jhtqujewh,,,1,3
terp14l0fp639yudfl46zauvv8rkzjgd4u0zkgrdqzs,,,1,3
terp14nx46aumvw9tnmgf258rq5vp6zsvep9uhh64ay,,,1,3
terp157z90gd97m5cs2sky7ddenvuvnjr7xypl2es2v,,,1,3
terp15aa4v29vlhkzdh5vmf7m55uz6sf9jqm2wh5659,,,1,3
terp15g257lg3qr023dq9jd4cr38wz5dfqkwh9y6lxk,,,1,3
terp15g8wandwhem9j0tpdvh4r3rn55n70n2eguarax,,,1,3
terp15ngp6c9c5kgnx0ujl2kpmdpz6fet9pkgmwnrjd,,,1,3
terp15v4alt5cvcd90a6fev6nxgdlup2xw5zntg844p,,,1,3
terp15x7ads8y9y58z63pf3q3neusyq83lukkqpqyrl,,,1,3
terp164hrh827qzkhrxdn4ud9n23ry4nev7ytel00yr,,,1,3
terp16795j3j4epyf7js6f8ht8scyy9c708xfhrmymm,,,1,3
terp16ejyzgtc2g49gkq5579ylyv7mtml2t50d4vmfv,,,1,3
terp16hmnlnkyem9hd3ssy9j09yvxht9pw8rxn5m3aj,,,1,3
terp16hp7wzudkeyw6fvgvalm0fh3elp9czhf2wt2z7,,,1,3
terp16r8masj94zav9fhwg00z9vkx2rpvd9d4unhet8,,,1,3
terp16sm9u8thqzwqyasha5nqw94vv3a6487xf7s5xs,,,1,3
terp17nun6cg7a5xtu9fz2p8scxr7u9jmrf5vt72jal,,,1,3
terp182sdupgyhs4cz4vrcjytzscdj463d4y8r5laur,,,1,3
terp188lyjtjn7ca20gj445twapm26mr70tyz3f8699,,,1,3
terp18jdc8v0xm3x43cpvrtce2teuctzyu7awgshftw,,,1,3
terp18jg48uc7zh2l3v87fjkvrrkpsmtaqjj6wwe0f5,,,1,3
terp18lqa6fzqge6tjv4t44hgj3fnshjevxvlj77g3g,,,1,3
terp18r44epe6ju5pa5vd4rdf8yssqtrpjhzd36qhhx,,,1,3
terp18t6l5m0vs5995h9mr9ngkh8vvq7aq3ah96esg6,,,1,3
terp197nrt26lht5k6805f5qfmj5r3mndwcsmynkk7y,,,1,3
